Row ID,Order ID,Customer ID,Geo Key,Product ID,Order Date,Ship Date,Sum of Sales,Sum of Profit,Sum of Quantity,Ship Mode,Sum of Discount
8005,US-2026-147039,AA-10315,Minneapolis|Minnesota,OFF-AP-10000576,2026-06-29 00:00:00,2026-07-04 00:00:00,362.94,90.735,3,Standard Class,0
8009,US-2026-147039,AA-10315,Minneapolis|Minnesota,OFF-BI-10004654,2026-06-29 00:00:00,2026-07-04 00:00:00,11.54,5.77,2,Standard Class,0
1132,US-2023-138100,AA-10315,New York City|New York,FUR-FU-10002456,2023-09-15 00:00:00,2023-09-20 00:00:00,14.56,6.2608,2,Standard Class,0
1133,US-2023-138100,AA-10315,New York City|New York,OFF-PA-10000349,2023-09-15 00:00:00,2023-09-20 00:00:00,14.94,7.0218,3,Standard Class,0
4370,US-2025-103982,AA-10315,Round Rock|Texas,OFF-FA-10001332,2025-03-03 00:00:00,2025-03-08 00:00:00,2.304,0.7776,1,Standard Class,0.2
4373,US-2025-103982,AA-10315,Round Rock|Texas,OFF-SU-10000151,2025-03-03 00:00:00,2025-03-08 00:00:00,3930.072,-786.0144,3,Standard Class,0.2
4375,US-2025-103982,AA-10315,Round Rock|Texas,TEC-AC-10002857,2025-03-03 00:00:00,2025-03-08 00:00:00,41.72,5.7365,7,Standard Class,0.2
4377,US-2025-103982,AA-10315,Round Rock|Texas,TEC-PH-10000895,2025-03-03 00:00:00,2025-03-08 00:00:00,431.976,32.3982,3,Standard Class,0.2
282,US-2023-128055,AA-10315,San Francisco|California,OFF-AP-10002765,2023-03-31 00:00:00,2023-04-05 00:00:00,52.98,14.8344,2,Standard Class,0
288,US-2023-128055,AA-10315,San Francisco|California,OFF-BI-10004390,2023-03-31 00:00:00,2023-04-05 00:00:00,673.568,252.588,2,Standard Class,0.2
3396,US-2024-121391,AA-10315,San Francisco|California,OFF-ST-10001590,2024-10-04 00:00:00,2024-10-07 00:00:00,26.96,7.0096,2,First Class,0
6266,US-2025-131065,AA-10375,Atlanta|Georgia,OFF-BI-10004970,2025-11-14 00:00:00,2025-11-16 00:00:00,8.26,3.8822,2,Second Class,0
6269,US-2025-131065,AA-10375,Atlanta|Georgia,OFF-PA-10002479,2025-11-14 00:00:00,2025-11-16 00:00:00,5.28,2.376,1,Second Class,0
6271,US-2025-131065,AA-10375,Atlanta|Georgia,TEC-AC-10004145,2025-11-14 00:00:00,2025-11-16 00:00:00,499.98,114.9954,2,Second Class,0
3660,US-2024-114503,AA-10375,Lebanon|Tennessee,OFF-ST-10003572,2024-11-13 00:00:00,2024-11-17 00:00:00,84.96,6.372,6,Standard Class,0.2
387,US-2023-158064,AA-10375,Los Angeles|California,OFF-BI-10002976,2023-04-21 00:00:00,2023-04-25 00:00:00,16.52,5.5755,5,Standard Class,0.2
5189,US-2025-126613,AA-10375,Mesa|Arizona,OFF-ST-10001325,2025-07-10 00:00:00,2025-07-16 00:00:00,16.768,1.4672,2,Standard Class,0.2
9950,US-2026-100230,AA-10375,New York City|New York,OFF-BI-10002498,2026-12-11 00:00:00,2026-12-15 00:00:00,14.952,5.0463,1,Standard Class,0.2
9956,US-2026-100230,AA-10375,New York City|New York,OFF-PA-10002245,2026-12-11 00:00:00,2026-12-15 00:00:00,17.94,8.073,3,Standard Class,0
9961,US-2026-100230,AA-10375,New York City|New York,TEC-PH-10004522,2026-12-11 00:00:00,2026-12-15 00:00:00,116.98,29.245,2,Standard Class,0
2117,US-2024-140921,AA-10375,Omaha|Nebraska,FUR-FU-10003347,2024-02-03 00:00:00,2024-02-05 00:00:00,28.4,11.076,2,First Class,0
2121,US-2024-140921,AA-10375,Omaha|Nebraska,TEC-AC-10004901,2024-02-03 00:00:00,2024-02-05 00:00:00,149.97,50.9898,3,First Class,0
8580,US-2026-169488,AA-10375,Providence|Rhode Island,OFF-PA-10000157,2026-09-07 00:00:00,2026-09-09 00:00:00,39.96,18.7812,2,First Class,0
8582,US-2026-169488,AA-10375,Providence|Rhode Island,OFF-PA-10002659,2026-09-07 00:00:00,2026-09-09 00:00:00,16.9,7.774,5,First Class,0
1397,US-2023-130729,AA-10375,Rancho Cucamonga|California,OFF-BI-10002706,2023-10-24 00:00:00,2023-10-29 00:00:00,34.272,11.1384,3,Standard Class,0.2
2518,US-2024-109939,AA-10375,Salem|Oregon,OFF-AR-10000127,2024-05-08 00:00:00,2024-05-12 00:00:00,5.248,0.590399999999999,2,Standard Class,0.2
7419,US-2026-114412,AA-10480,Concord|North Carolina,OFF-PA-10002365,2026-04-15 00:00:00,2026-04-20 00:00:00,15.552,5.4432,3,Standard Class,0.2
5462,US-2025-114601,AA-10480,Detroit|Michigan,FUR-TA-10004147,2025-08-26 00:00:00,2025-09-02 00:00:00,447.84,98.5248,4,Standard Class,0
5464,US-2025-114601,AA-10480,Detroit|Michigan,OFF-AR-10002578,2025-08-26 00:00:00,2025-09-02 00:00:00,8.64,2.5056,3,Standard Class,0
5469,US-2025-114601,AA-10480,Detroit|Michigan,OFF-PA-10000605,2025-08-26 00:00:00,2025-09-02 00:00:00,11.56,5.6644,2,Standard Class,0
5475,US-2025-114601,AA-10480,Detroit|Michigan,TEC-AC-10003911,2025-08-26 00:00:00,2025-09-02 00:00:00,479.97,163.1898,3,Standard Class,0
5477,US-2025-114601,AA-10480,Detroit|Michigan,TEC-PH-10002170,2025-08-26 00:00:00,2025-09-02 00:00:00,209.97,58.7916,3,Standard Class,0
430,US-2023-155271,AA-10480,Middletown|Connecticut,FUR-FU-10001473,2023-05-04 00:00:00,2023-05-04 00:00:00,27.46,9.8856,2,Same Day,0
5231,US-2025-121671,AA-10480,Springfield|Missouri,OFF-PA-10001471,2025-07-17 00:00:00,2025-07-22 00:00:00,21.93,10.0878,3,Standard Class,0
5232,US-2025-121671,AA-10480,Springfield|Missouri,OFF-PA-10001892,2025-07-17 00:00:00,2025-07-22 00:00:00,7.64,3.7436,1,Standard Class,0
5233,US-2025-121671,AA-10480,Springfield|Missouri,OFF-PA-10001934,2025-07-17 00:00:00,2025-07-22 00:00:00,51.84,25.4016,8,Standard Class,0
5235,US-2025-121671,AA-10480,Springfield|Missouri,OFF-ST-10000078,2025-07-17 00:00:00,2025-07-22 00:00:00,265.17,47.7306,1,Standard Class,0
5237,US-2025-121671,AA-10480,Springfield|Missouri,OFF-ST-10002344,2025-07-17 00:00:00,2025-07-22 00:00:00,242.94,4.85880000000002,3,Standard Class,0
659,US-2023-154963,AA-10645,Chester|Pennsylvania,FUR-CH-10000454,2023-06-22 00:00:00,2023-06-27 00:00:00,853.93,0,5,Standard Class,0.3
660,US-2023-154963,AA-10645,Chester|Pennsylvania,FUR-CH-10004698,2023-06-22 00:00:00,2023-06-27 00:00:00,170.058,-4.85879999999999,3,Standard Class,0.3
665,US-2023-154963,AA-10645,Chester|Pennsylvania,TEC-PH-10004093,2023-06-22 00:00:00,2023-06-27 00:00:00,82.782,-15.1767,3,Standard Class,0.4
5575,US-2025-131205,AA-10645,Georgetown|Kentucky,FUR-FU-10003347,2025-09-04 00:00:00,2025-09-08 00:00:00,42.6,16.614,3,Standard Class,0
5581,US-2025-131205,AA-10645,Georgetown|Kentucky,OFF-AR-10003469,2025-09-04 00:00:00,2025-09-08 00:00:00,5.28,2.5344,3,Standard Class,0
5582,US-2025-131205,AA-10645,Georgetown|Kentucky,OFF-BI-10000315,2025-09-04 00:00:00,2025-09-08 00:00:00,113.94,54.6912,6,Standard Class,0
5588,US-2025-131205,AA-10645,Georgetown|Kentucky,OFF-ST-10002583,2025-09-04 00:00:00,2025-09-08 00:00:00,129.92,5.1968,4,Standard Class,0
1760,US-2023-143210,AA-10645,Lowell|Massachusetts,FUR-FU-10002268,2023-12-01 00:00:00,2023-12-03 00:00:00,9.82,3.2406,2,First Class,0
1761,US-2023-143210,AA-10645,Lowell|Massachusetts,FUR-FU-10003878,2023-12-01 00:00:00,2023-12-03 00:00:00,45.84,15.5856,3,First Class,0
1766,US-2023-143210,AA-10645,Lowell|Massachusetts,TEC-PH-10004434,2023-12-01 00:00:00,2023-12-03 00:00:00,271.9,78.851,2,First Class,0
3701,US-2024-110863,AA-10645,Oklahoma City|Oklahoma,FUR-CH-10002073,2024-11-17 00:00:00,2024-11-24 00:00:00,1323.9,383.931,5,Standard Class,0
3704,US-2024-110863,AA-10645,Oklahoma City|Oklahoma,OFF-PA-10000474,2024-11-17 00:00:00,2024-11-24 00:00:00,106.32,49.9704,3,Standard Class,0
3708,US-2024-110863,AA-10645,Oklahoma City|Oklahoma,OFF-ST-10002756,2024-11-17 00:00:00,2024-11-24 00:00:00,541.24,5.41240000000005,4,Standard Class,0
9332,US-2026-157196,AA-10645,San Diego|California,OFF-PA-10003172,2026-11-05 00:00:00,2026-11-09 00:00:00,12.96,6.2208,2,Standard Class,0
5147,US-2025-147137,AA-10645,San Francisco|California,FUR-BO-10001811,2025-07-04 00:00:00,2025-07-06 00:00:00,1279.165,225.735,5,First Class,0.15
5148,US-2025-147137,AA-10645,San Francisco|California,FUR-FU-10000221,2025-07-04 00:00:00,2025-07-06 00:00:00,25.4,8.636,5,First Class,0
5150,US-2025-147137,AA-10645,San Francisco|California,OFF-EN-10003567,2025-07-04 00:00:00,2025-07-06 00:00:00,43.96,20.6612,2,First Class,0
5151,US-2025-147137,AA-10645,San Francisco|California,OFF-ST-10002486,2025-07-04 00:00:00,2025-07-06 00:00:00,27.92,0.558399999999999,4,First Class,0
120,US-2023-152905,AB-10015,Arlington|Texas,OFF-ST-10000321,2023-02-18 00:00:00,2023-02-24 00:00:00,12.624,-2.5248,2,Standard Class,0.2
6176,US-2025-140935,AB-10015,Oklahoma City|Oklahoma,FUR-BO-10003966,2025-11-10 00:00:00,2025-11-12 00:00:00,341.96,54.7136,2,First Class,0
6209,US-2025-140935,AB-10015,Oklahoma City|Oklahoma,TEC-PH-10000562,2025-11-10 00:00:00,2025-11-12 00:00:00,221.98,62.1544,2,First Class,0
162,US-2023-156587,AB-10015,Seattle|Washington,FUR-CH-10004477,2023-03-07 00:00:00,2023-03-08 00:00:00,48.712,5.4801,1,First Class,0.2
165,US-2023-156587,AB-10015,Seattle|Washington,OFF-AR-10001427,2023-03-07 00:00:00,2023-03-08 00:00:00,17.94,4.6644,3,First Class,0
168,US-2023-156587,AB-10015,Seattle|Washington,OFF-ST-10002344,2023-03-07 00:00:00,2023-03-08 00:00:00,242.94,4.85880000000002,3,First Class,0
5504,US-2025-161207,AB-10060,Concord|New Hampshire,OFF-SU-10000381,2025-08-29 00:00:00,2025-09-03 00:00:00,27.93,8.0997,3,Standard Class,0
3230,US-2024-150511,AB-10060,Des Moines|Washington,OFF-PA-10001776,2024-09-18 00:00:00,2024-09-24 00:00:00,18.54,8.7138,2,Standard Class,0
9329,US-2026-118213,AB-10060,Greenwood|Indiana,OFF-PA-10000565,2026-11-05 00:00:00,2026-11-07 00:00:00,167.94,82.2906,3,First Class,0
9331,US-2026-118213,AB-10060,Greenwood|Indiana,OFF-PA-10002615,2026-11-05 00:00:00,2026-11-07 00:00:00,4.41,2.0286,1,First Class,0
9333,US-2026-118213,AB-10060,Greenwood|Indiana,OFF-PA-10003673,2026-11-05 00:00:00,2026-11-07 00:00:00,67.8,31.188,10,First Class,0
7588,US-2026-159688,AB-10060,Los Angeles|California,TEC-AC-10000736,2026-05-07 00:00:00,2026-05-12 00:00:00,79.99,28.7964,1,Standard Class,0
5520,US-2025-129714,AB-10060,New York City|New York,OFF-BI-10002160,2025-09-01 00:00:00,2025-09-03 00:00:00,3.048,1.0668,1,First Class,0.2
5522,US-2025-129714,AB-10060,New York City|New York,OFF-BI-10004995,2025-09-01 00:00:00,2025-09-03 00:00:00,4355.168,1415.4296,4,First Class,0.2
5526,US-2025-129714,AB-10060,New York City|New York,OFF-PA-10001970,2025-09-01 00:00:00,2025-09-03 00:00:00,24.56,11.5432,2,First Class,0
5527,US-2025-129714,AB-10060,New York City|New York,OFF-PA-10001970,2025-09-01 00:00:00,2025-09-03 00:00:00,49.12,23.0864,4,First Class,0
5530,US-2025-129714,AB-10060,New York City|New York,TEC-AC-10000290,2025-09-01 00:00:00,2025-09-03 00:00:00,6.79,2.3086,1,First Class,0
8735,US-2026-134173,AB-10060,Philadelphia|Pennsylvania,OFF-PA-10004355,2026-09-16 00:00:00,2026-09-21 00:00:00,20.736,7.2576,4,Standard Class,0.2
9340,US-2026-107174,AB-10060,Seattle|Washington,FUR-CH-10003312,2026-11-06 00:00:00,2026-11-13 00:00:00,449.568,-73.0548000000001,2,Standard Class,0.2
9345,US-2026-107174,AB-10060,Seattle|Washington,FUR-TA-10004575,2026-11-06 00:00:00,2026-11-13 00:00:00,2036.86,366.6348,7,Standard Class,0
9365,US-2026-107174,AB-10060,Seattle|Washington,TEC-AC-10001465,2026-11-06 00:00:00,2026-11-13 00:00:00,108.96,32.688,3,Standard Class,0
4434,US-2025-108637,AB-10060,Waynesboro|Virginia,FUR-FU-10004864,2025-03-13 00:00:00,2025-03-18 00:00:00,127.88,40.9216,2,Standard Class,0
4437,US-2025-108637,AB-10060,Waynesboro|Virginia,OFF-AP-10004540,2025-03-13 00:00:00,2025-03-18 00:00:00,160.32,44.8896,2,Standard Class,0
4442,US-2025-108637,AB-10060,Waynesboro|Virginia,OFF-BI-10004965,2025-03-13 00:00:00,2025-03-18 00:00:00,46,20.7,4,Standard Class,0
8268,US-2026-140781,AB-10105,Bloomington|Illinois,TEC-AC-10000682,2026-08-03 00:00:00,2026-08-07 00:00:00,39.816,7.4655,3,Standard Class,0.2
6675,US-2025-117121,AB-10105,Detroit|Michigan,OFF-BI-10000545,2025-12-17 00:00:00,2025-12-21 00:00:00,9892.74,4946.37,13,Standard Class,0
9546,US-2026-101042,AB-10105,Henderson|Kentucky,FUR-FU-10004665,2026-11-19 00:00:00,2026-11-23 00:00:00,821.88,213.6888,6,Standard Class,0
9555,US-2026-101042,AB-10105,Henderson|Kentucky,OFF-BI-10000088,2026-11-19 00:00:00,2026-11-23 00:00:00,21.96,10.7604,2,Standard Class,0
3573,US-2024-163181,AB-10105,Houston|Texas,FUR-FU-10000193,2024-11-07 00:00:00,2024-11-12 00:00:00,64.96,-84.448,5,Standard Class,0.6
3574,US-2024-163181,AB-10105,Houston|Texas,OFF-AR-10001683,2024-11-07 00:00:00,2024-11-12 00:00:00,23.64,5.319,3,Standard Class,0.2
